name,price,description,battery,motor_type,max_speed,weight,images,original_images,website,product_id,language,url,crawl_date,range,max_load
ENGWE M20,1099.0,,48V13Ah Lithium-Ion Battery *1,Brushless Motor,25 km/h,76.72lbs (34.8KG),"['https://engwe-bikes-eu.com/cdn/shop/files/20_2c2115a8-a5b0-40d9-a94f-00482df99c86.png?v=1724668012&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M20_a24ec275-9877-4614-8caa-df60dbcc319a.jpg?v=1702018421&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M20_dbc4ca10-d4f1-4115-bc16-4c2c69cbff54.jpg?v=1724909886&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M20_ebb8428f-7a96-4a5b-91e9-894eb4c6a419.jpg?v=1724909886&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M20_c155b11d-689d-4767-bb25-daeb65cdd335.jpg?v=1724909886&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M20_c6c02586-52b1-47cd-8846-e5970d67f222.jpg?v=1724909886&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M20_6b6b1530-b8a9-4c8a-ba35-73d929914c9e.jpg?v=1724909886&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/4_94e20de3-2616-4adc-95cd-fff23fd39ed4.jpg?v=1742906750&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/6_a9bc132b-3bb5-413b-9983-d324cd144781.jpg?v=1742906750&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/5.gif?v=1742906750&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/17.png?v=1742906750&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/16.png?v=1742906750&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/18.png?v=1742906750&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/19.png?v=1742906750&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/1_08bf70a2-3e12-487a-a872-1e6cdf2ee827.jpg?v=1723633445&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/6_296e9a4c-2d28-476f-aa41-550adb74a486.png?v=1702018421&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/8.png?v=1702018421&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/7.png?v=1702018421&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/10.png?v=1702018421&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/11.png?v=1702018421&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/12.png?v=1702018421&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M20_f9638a5d-f09c-45bc-ac41-626944bf277a.jpg?v=1724909886&width=1214']","['https://engwe-bikes-eu.com/cdn/shop/files/20_2c2115a8-a5b0-40d9-a94f-00482df99c86.png?v=1724668012&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M20_a24ec275-9877-4614-8caa-df60dbcc319a.jpg?v=1702018421&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M20_dbc4ca10-d4f1-4115-bc16-4c2c69cbff54.jpg?v=1724909886&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M20_ebb8428f-7a96-4a5b-91e9-894eb4c6a419.jpg?v=1724909886&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M20_c155b11d-689d-4767-bb25-daeb65cdd335.jpg?v=1724909886&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M20_c6c02586-52b1-47cd-8846-e5970d67f222.jpg?v=1724909886&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M20_6b6b1530-b8a9-4c8a-ba35-73d929914c9e.jpg?v=1724909886&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/4_94e20de3-2616-4adc-95cd-fff23fd39ed4.jpg?v=1742906750&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/6_a9bc132b-3bb5-413b-9983-d324cd144781.jpg?v=1742906750&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/5.gif?v=1742906750&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/17.png?v=1742906750&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/16.png?v=1742906750&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/18.png?v=1742906750&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/19.png?v=1742906750&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/1_08bf70a2-3e12-487a-a872-1e6cdf2ee827.jpg?v=1723633445&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/6_296e9a4c-2d28-476f-aa41-550adb74a486.png?v=1702018421&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/8.png?v=1702018421&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/7.png?v=1702018421&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/10.png?v=1702018421&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/11.png?v=1702018421&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/products/12.png?v=1702018421&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M20_f9638a5d-f09c-45bc-ac41-626944bf277a.jpg?v=1724909886&width=1214']",Engwe EU,m20,en-GB,https://engwe-bikes-eu.com/products/m20,2025-05-23T02:18:47.924080,,
ENGWE M1,1099.0,,"90 km (In PAS Mode 1, with 75kg rider and no other load.)",48V 250W Brushless Motor,25 km/h,39.5 kg,"['https://engwe-bikes-eu.com/cdn/shop/files/4_f5d9a7b5-564c-4142-a437-f29fcb818ed2.jpg?v=1743583576&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/3_e4e5efda-46c2-4b69-b682-19bf99c9f18d.jpg?v=1743583576&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M1_2V_13.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/2_6357ac6d-4fc8-4592-bee9-1f3d09695e67.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/3_ec17f5a5-f51b-4bf0-943f-79224b2ddd76.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/4_8b36c857-1a3f-4437-b21b-af4701cdfce6.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/1_b05f51d1-7268-4a15-b847-70acbf76b74b.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/11_f5ef2c74-2ce9-4828-9ee2-28ec71b3e055.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/12_042e5921-fdae-4476-81a9-0eed377e7760.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/9_a6c7f3ef-96b9-4a70-ac7d-bd0233d6ac54.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/10_b96b774e-6f0f-4d77-9376-9965f4448fd0.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/8_00579af6-9a57-40c7-a91b-9825034edfdb.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/5_748e5e5a-34c9-4abf-9f6e-9710123552f5.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/7_e356c5cd-2e53-47bc-90d3-668eba1adc2e.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/6_6a61fac9-dec5-47cd-8bad-ae6fdb6459dd.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/1_ae4fed5d-0f11-46f7-add1-f22509f13f12.jpg?v=1743585465&width=1214']","['https://engwe-bikes-eu.com/cdn/shop/files/4_f5d9a7b5-564c-4142-a437-f29fcb818ed2.jpg?v=1743583576&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/3_e4e5efda-46c2-4b69-b682-19bf99c9f18d.jpg?v=1743583576&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/M1_2V_13.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/2_6357ac6d-4fc8-4592-bee9-1f3d09695e67.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/3_ec17f5a5-f51b-4bf0-943f-79224b2ddd76.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/4_8b36c857-1a3f-4437-b21b-af4701cdfce6.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/1_b05f51d1-7268-4a15-b847-70acbf76b74b.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/11_f5ef2c74-2ce9-4828-9ee2-28ec71b3e055.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/12_042e5921-fdae-4476-81a9-0eed377e7760.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/9_a6c7f3ef-96b9-4a70-ac7d-bd0233d6ac54.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/10_b96b774e-6f0f-4d77-9376-9965f4448fd0.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/8_00579af6-9a57-40c7-a91b-9825034edfdb.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/5_748e5e5a-34c9-4abf-9f6e-9710123552f5.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/7_e356c5cd-2e53-47bc-90d3-668eba1adc2e.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/6_6a61fac9-dec5-47cd-8bad-ae6fdb6459dd.jpg?v=1743585465&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/1_ae4fed5d-0f11-46f7-add1-f22509f13f12.jpg?v=1743585465&width=1214']",Engwe EU,engwe-m1,en-GB,https://engwe-bikes-eu.com/products/engwe-m1,2025-05-23T02:18:49.275174,,
EP-2 Boost,999.0,,48V13Ah Removable Internal Lithium-ion *1,250W Brushless Motor,25 km/h,30 kg (66lbs),"['https://engwe-bikes-eu.com/cdn/shop/files/EP-2_BOOST.jpg?v=1745033619&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_10.jpg?v=1745033619&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_11.jpg?v=1745033619&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_1.jpg?v=1745033619&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_5.jpg?v=1745033619&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_9.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_12.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_13.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_14.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_2.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_4.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_8.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_3.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_6.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_7.jpg?v=1745033618&width=1214']","['https://engwe-bikes-eu.com/cdn/shop/files/EP-2_BOOST.jpg?v=1745033619&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_10.jpg?v=1745033619&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_11.jpg?v=1745033619&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_1.jpg?v=1745033619&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_5.jpg?v=1745033619&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_9.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_12.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_13.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_14.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_2.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_4.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_8.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_3.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_6.jpg?v=1745033618&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/EP-2BOOST_7.jpg?v=1745033618&width=1214']",Engwe EU,ep-2-boost,en-GB,https://engwe-bikes-eu.com/products/ep-2-boost,2025-05-23T02:18:50.727243,120 km (PAS 1),150kg (330 lbs)
ENGWE MAPFOUR N1 PRO,1999.0,,36V 10Ah Removable Lithium-ion Battery,250W Ananda Brushless Mid-drive Motor,25 km/h,19 kg (41.88 lbs),"['https://engwe-bikes-eu.com/cdn/shop/files/2_4e8bf0a6-3418-45e6-8303-88c8ac7aef24.jpg?v=1741244948&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/N1_PRO.jpg?v=1741244948&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/13_04edd23c-fdd1-46f1-aae2-c05a3213d1f3.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/1_6788546c-9cf8-4760-8d2d-c802164f19a7.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/3_a94e2a61-d4dc-4745-b151-e27efe002873.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/4_6774de8a-3e65-458e-869b-4e6e0cf69dd1.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/5_bff9c605-c2e1-4885-a513-566eeba42b4b.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/6_2f08824c-eb26-4a7e-a45d-2886fd3cb28b.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/8_30438c10-e0ab-4bd6-9b14-d94fcad06de4.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/9_ac4bb4e4-a5e5-4c0a-91a6-9a8a69202177.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/7_435872a5-55da-4fc9-b96c-49d05e7d9b8c.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/11_642b129d-0afb-4e34-988a-645c8e4357f2.jpg?v=1741405414&width=1214']","['https://engwe-bikes-eu.com/cdn/shop/files/2_4e8bf0a6-3418-45e6-8303-88c8ac7aef24.jpg?v=1741244948&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/N1_PRO.jpg?v=1741244948&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/13_04edd23c-fdd1-46f1-aae2-c05a3213d1f3.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/1_6788546c-9cf8-4760-8d2d-c802164f19a7.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/3_a94e2a61-d4dc-4745-b151-e27efe002873.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/4_6774de8a-3e65-458e-869b-4e6e0cf69dd1.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/5_bff9c605-c2e1-4885-a513-566eeba42b4b.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/6_2f08824c-eb26-4a7e-a45d-2886fd3cb28b.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/8_30438c10-e0ab-4bd6-9b14-d94fcad06de4.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/9_ac4bb4e4-a5e5-4c0a-91a6-9a8a69202177.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/7_435872a5-55da-4fc9-b96c-49d05e7d9b8c.jpg?v=1741405414&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/11_642b129d-0afb-4e34-988a-645c8e4357f2.jpg?v=1741405414&width=1214']",Engwe EU,engwe-mapfour-n1-pro,en-GB,https://engwe-bikes-eu.com/products/engwe-mapfour-n1-pro,2025-05-23T02:18:52.120620,,
L20 Boost,1149.0,,48V13Ah Lithium-Ion Battery,250W Brushless Motor,25 km/h (No Throttle),74.8 lbs (34 kg),"['https://engwe-bikes-eu.com/cdn/shop/files/8c15d41b9b829464843b5aa4449a28f3.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/4fe40f089696834c4906303a743d01c5_255c3d04-6646-469f-b014-5b2044c67bff.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/c8a850aa155439fadd14177ed610693f.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/3_b5a8bfdd-ed35-4f35-81cf-6bed76cd493f.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/df1ab30b074c29d48d32dcea64f74684.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/10_fecd12ea-9cb6-47b4-85bf-2a9362f85741.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/17_279112be-b8c5-4855-b546-377ddcf77ccc.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/18.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/15_bd86388f-5a56-43d2-8baa-a511d3a11846.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/10_e2e89e70-c5fa-452d-8e88-2b75e6fa8216.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/16_20004099-2f13-4b5a-bb7a-8e20b63c9e03.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/7_265347b3-83c8-4045-8c3a-92a3e537b19d.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/8_169b4044-a9eb-41c1-bb97-773a9f130690.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/9_29866c37-fd11-4441-ac39-63a45e3870d2.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/14_b07eafad-2d44-49b7-8d47-dbfa14e44030.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/12_6b3d7b7b-6cc9-4bfc-95d3-91031fb5fc74.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/11_a9b11d0e-4b03-4194-b21b-c1496e56b708.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/13_521036e0-14d0-4817-962e-bf47c08b6f29.jpg?v=1739786905&width=1214']","['https://engwe-bikes-eu.com/cdn/shop/files/8c15d41b9b829464843b5aa4449a28f3.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/4fe40f089696834c4906303a743d01c5_255c3d04-6646-469f-b014-5b2044c67bff.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/c8a850aa155439fadd14177ed610693f.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/3_b5a8bfdd-ed35-4f35-81cf-6bed76cd493f.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/df1ab30b074c29d48d32dcea64f74684.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/10_fecd12ea-9cb6-47b4-85bf-2a9362f85741.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/17_279112be-b8c5-4855-b546-377ddcf77ccc.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/18.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/15_bd86388f-5a56-43d2-8baa-a511d3a11846.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/10_e2e89e70-c5fa-452d-8e88-2b75e6fa8216.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/16_20004099-2f13-4b5a-bb7a-8e20b63c9e03.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/7_265347b3-83c8-4045-8c3a-92a3e537b19d.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/8_169b4044-a9eb-41c1-bb97-773a9f130690.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/9_29866c37-fd11-4441-ac39-63a45e3870d2.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/14_b07eafad-2d44-49b7-8d47-dbfa14e44030.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/12_6b3d7b7b-6cc9-4bfc-95d3-91031fb5fc74.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/11_a9b11d0e-4b03-4194-b21b-c1496e56b708.jpg?v=1739786905&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/13_521036e0-14d0-4817-962e-bf47c08b6f29.jpg?v=1739786905&width=1214']",Engwe EU,l20-boost,en-GB,https://engwe-bikes-eu.com/products/l20-boost,2025-05-23T02:18:53.508474,,
ENGINE PRO 2.0,1449.0,,16Ah Lithium-ion Battery,Magnesium Alloy Integrated Wheel Hub Motor,25km/h (PAS 5),31.6 kg,"['https://engwe-bikes-eu.com/cdn/shop/files/Engine_Pro_2_2.jpg?v=1746016850&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/8_4251da24-a527-4970-bf3e-0b347e49818d.jpg?v=1746523022&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/9_db29dbc8-bab6-468b-9c4d-1b1214b64de2.jpg?v=1746523041&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/Engine_Pro_2_6.jpg?v=1746016850&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/Engine_Pro_2_3.jpg?v=1746016850&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/Engine_Pro_2_4.jpg?v=1746016850&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/Engine_Pro_2_1.jpg?v=1746016850&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/Engine_Pro_2_5.jpg?v=1746016850&width=1214']","['https://engwe-bikes-eu.com/cdn/shop/files/Engine_Pro_2_2.jpg?v=1746016850&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/8_4251da24-a527-4970-bf3e-0b347e49818d.jpg?v=1746523022&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/9_db29dbc8-bab6-468b-9c4d-1b1214b64de2.jpg?v=1746523041&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/Engine_Pro_2_6.jpg?v=1746016850&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/Engine_Pro_2_3.jpg?v=1746016850&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/Engine_Pro_2_4.jpg?v=1746016850&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/Engine_Pro_2_1.jpg?v=1746016850&width=1214', 'https://engwe-bikes-eu.com/cdn/shop/files/Engine_Pro_2_5.jpg?v=1746016850&width=1214']",Engwe EU,engwe-engine-pro-2-0,en-GB,https://engwe-bikes-eu.com/products/engwe-engine-pro-2-0,2025-05-23T02:18:54.890492,,
